Yield_CT,Yield_NT,Yield_change,NT_effect,Latitude,Longitude,Crop,Years_NT,Crop_rotation_CT,Crop_rotation_NT,Soil_cover_CT,Soil_cover_NT,Weed_pest_control_CT,Weed_pest_control_NT,P,E,PB,Tave,Tmax,Tmin,ST
2567,2694,0.0495,Yes,48.28,-105.1,wheat.winter,3,0,0,NA,NA,1,1,395.8,534.828,-139.028,5.03333,24.7986,-20.09568,Loam
2405,2439,0.0141,Yes,48.28,-105.1,wheat.winter,4,0,0,NA,NA,1,1,260.3,590.273,-329.973,5.79167,29.19186,-21.60286,Loam
2439,2788,0.1431,Yes,48.28,-105.1,wheat.winter,5,0,0,NA,NA,1,1,397.3,555.26,-157.96,6.86667,29.48728,-16.19572,Loam
3005,2943,-0.0206,No,32.42,-93.64,soybean,3,1,1,0,1,1,1,511.9000053,546.6868881,-34.787,26.15999985,35.3316296,14.98488395,Loam
3062,2670,-0.128,No,32.42,-93.64,soybean,4,1,1,0,1,1,1,475.0999966,511.4026107,-36.303,24.96000023,34.27268933,13.00351149,Loam
2750,750,-0.7273,No,9.07,38.48,wheat.winter,1,0,0,0,0,1,1,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
3300,860,-0.7394,No,9.07,38.48,wheat.winter,1,0,0,0,1,1,1,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
3490,1080,-0.6905,No,9.07,38.48,wheat.winter,1,0,0,0,1,1,1,415.4,697.924,-282.524,20.41429,24.3614,7.81478,Clay loam
1290,1200,-0.0698,No,9.07,38.48,wheat.winter,2,0,0,0,0,1,1,465,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
1340,1160,-0.1343,No,9.07,38.48,wheat.winter,2,0,0,0,1,1,1,465,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
1370,1350,-0.0146,No,9.07,38.48,wheat.winter,2,0,0,0,1,1,1,465,702.02,-237.02,20.77143,26.41964,7.69113,Clay loam
890,930,0.0449,Yes,9.07,38.48,wheat.winter,3,0,0,0,0,1,1,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
910,960,0.0549,Yes,9.07,38.48,wheat.winter,3,0,0,0,1,1,1,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
1100,1200,0.0909,Yes,9.07,38.48,wheat.winter,3,0,0,0,1,1,1,283.3,716.554,-433.254,20.71429,25.72281,8.06241,Clay loam
7225,6749,-0.0659,No,28.6,112.6,rice,32,0,0,0,1,NA,NA,963.1,285.776,677.324,18.55,26.04461,7.75104,Clay loam
2380,2620,0.1008,Yes,47.46,-99.12,soybean,2,0,0,0,1,1,1,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
2760,2570,-0.0688,No,47.46,-99.12,soybean,2,0,0,0,1,1,1,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
2760,2520,-0.087,No,47.46,-99.12,soybean,2,0,0,0,1,1,1,347.1,476.438,-129.338,15.2,29.3754,-2.51616,Loam
8189,7492,-0.0851,No,24.38,90.13,maize,1,1,1,NA,NA,NA,NA,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
8488,7771,-0.0845,No,24.38,90.13,maize,2,1,1,0,1,NA,NA,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
8508,7910,-0.0703,No,24.38,90.13,maize,3,1,1,0,1,NA,NA,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
9066,8388,-0.0748,No,24.38,90.13,maize,1,1,1,NA,NA,NA,NA,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
9245,8488,-0.0819,No,24.38,90.13,maize,2,1,1,0,1,NA,NA,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
9086,9404,0.035,Yes,24.38,90.13,maize,3,1,1,0,1,NA,NA,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
8388,7014,-0.1638,No,24.38,90.13,maize,1,1,1,NA,NA,NA,NA,1310.699997,373.6813276,937.019,28.69999933,32.45272624,26.20539511,Loam
8588,7233,-0.1578,No,24.38,90.13,maize,2,1,1,0,1,NA,NA,930.1000137,414.1735998,515.926,29.47500038,34.45892741,26.81484375,Loam
8747,7631,-0.1276,No,24.38,90.13,maize,3,1,1,0,1,NA,NA,776.3999786,417.0355925,359.364,29.125,33.38662424,26.53099162,Loam
4300,4700,0.093,Yes,40.16,16.65,wheat.winter,1,0,0,0,0,1,1,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
4000,5900,0.475,Yes,40.16,16.65,wheat.winter,1,0,0,0,0,1,1,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
3700,5300,0.4324,Yes,40.16,16.65,wheat.winter,1,0,0,0,0,1,1,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
3700,5100,0.3784,Yes,40.16,16.65,wheat.winter,1,0,0,0,0,1,1,713.4,673.444,39.956,20.58889,26.44987,3.87631,Loam
5100,5200,0.0196,Yes,40.16,16.65,wheat.winter,2,0,0,0,0,1,1,557,684.918,-127.918,20.72222,26.24189,4.88006,Loam
5300,4800,-0.0943,No,40.16,16.65,wheat.winter,2,0,0,0,0,1,1,557,684.918,-127.918,20.72222,26.24189,4.88006,Loam
5200,5500,0.0577,Yes,40.16,16.65,wheat.winter,2,0,0,0,0,1,1,557,684.918,-127.918,20.72222,26.24189,4.88006,Loam
4600,5800,0.2609,Yes,40.16,16.65,wheat.winter,2,0,0,0,0,1,1,557,684.918,-127.918,20.72222,26.24189,4.88006,Loam
6300,6500,0.0317,Yes,40.16,16.65,wheat.winter,3,0,0,0,0,1,1,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
6300,6900,0.0952,Yes,40.16,16.65,wheat.winter,3,0,0,0,0,1,1,467.2,702.472,-235.272,20.75556,28.2099,2.61107,Loam
